Date,Open,High,Low,Close,Adj Close,Volume
2016-09-05,107.900002,108.760002,103.129997,103.129997,98.307373,168803700
2016-09-12,102.650002,116.129997,102.529999,114.919998,109.546051,388228200
2016-09-19,115.190002,116.180000,111.550003,112.709999,107.439400,201095700
2016-09-26,111.639999,114.639999,111.550003,113.050003,107.763504,156384000
2016-10-03,112.709999,114.559998,112.279999,114.059998,108.726265,126029400
2016-10-10,115.019997,118.690002,114.720001,117.629997,112.129311,208708400
2016-10-17,117.330002,118.209999,113.800003,116.599998,111.147491,115531500
2016-10-24,117.099998,118.360001,113.309998,113.720001,108.402168,210225600
2016-10-31,113.650002,114.230003,108.110001,108.839996,103.750366,156346500
2016-11-07,110.080002,111.720001,105.830002,108.430000,103.890221,207269000
2016-11-14,107.709999,110.540001,104.080002,110.059998,105.451973,198341400
2016-11-21,110.120003,112.419998,110.010002,111.790001,107.109535,94132400
2016-11-28,111.430000,112.470001,108.849998,109.900002,105.298676,155500000
2016-12-05,110.000000,114.699997,108.250000,113.949997,109.179115,151989600
2016-12-12,113.290001,116.730003,112.489998,115.970001,111.114532,195015600
2016-12-19,115.800003,117.500000,115.589996,116.519997,111.641487,113323000
2016-12-26,116.519997,118.019997,115.430000,115.820000,110.970810,84828600
2017-01-02,115.800003,118.160004,114.760002,117.910004,112.973305,103845500
2017-01-09,117.949997,119.930000,117.940002,119.040001,114.055984,138810700
2017-01-16,118.339996,120.500000,118.220001,120.000000,114.975792,116348000
2017-01-23,120.000000,122.440002,119.500000,121.949997,116.844154,124539300
2017-01-30,120.930000,130.490005,120.620003,129.080002,123.675636,249781200
2017-02-06,129.130005,132.940002,128.899994,132.119995,126.588348,136449200
2017-02-13,133.080002,136.270004,132.750000,135.720001,130.601425,136667500
2017-02-20,136.229996,137.479996,135.279999,136.660004,131.505997,87908900
2017-02-27,137.139999,140.279999,136.279999,139.779999,134.508286,127474000
2017-03-06,139.369995,139.979996,137.050003,139.139999,133.892441,99672200
2017-03-13,138.850006,141.020004,138.820007,139.990005,134.710419,121539600
2017-03-20,140.399994,142.800003,139.729996,140.639999,135.335861,129674000
2017-03-27,139.389999,144.500000,138.619995,143.660004,138.241959,127008900
2017-04-03,143.710007,145.460007,143.050003,143.339996,137.934021,105416200
2017-04-10,143.600006,143.880005,140.059998,141.050003,135.730423,87485700
2017-04-17,141.479996,142.919998,140.449997,142.270004,136.904373,89248500
2017-04-24,143.500000,144.899994,143.179993,143.649994,138.232330,91153700
2017-05-01,145.100006,148.979996,144.270004,148.960007,143.342072,175351700
2017-05-08,149.029999,156.419998,149.029999,156.100006,150.212799,173470600
2017-05-15,156.009995,156.649994,149.710007,153.059998,147.895401,157354900
2017-05-22,154.000000,154.899994,152.669998,153.610001,148.426834,103226500
2017-05-29,153.419998,155.449997,152.220001,155.449997,150.204742,88752900
2017-06-05,154.339996,155.979996,146.020004,148.979996,143.953049,159159700
2017-06-12,145.740005,147.500000,142.199997,142.270004,137.469467,220530400
2017-06-19,143.660004,147.160004,143.660004,146.279999,141.344177,133253000
2017-06-26,147.169998,148.279999,142.279999,144.020004,139.160446,127060200
2017-07-03,144.880005,145.300003,142.410004,144.179993,139.315018,79177900
2017-07-10,144.110001,149.330002,143.369995,149.039993,144.011017,111088400
2017-07-17,148.820007,151.740005,148.570007,150.270004,145.199524,106081600
2017-07-24,150.580002,153.990005,147.300003,149.500000,144.455536,105818100
2017-07-31,149.899994,159.750000,148.130005,156.389999,151.113022,172808500
2017-08-07,157.059998,161.830002,154.630005,157.479996,152.166245,151269100
2017-08-14,159.320007,162.509995,156.720001,157.500000,152.783203,134628500
2017-08-21,157.500000,160.740005,155.110001,159.860001,155.072525,112671200
2017-08-28,160.139999,164.940002,159.929993,164.050003,159.137039,126128700
2017-09-04,163.750000,164.250000,158.529999,158.630005,153.879349,101660200
2017-09-11,160.500000,163.960007,157.910004,159.880005,155.091934,221077500
2017-09-18,160.110001,160.500000,150.559998,151.889999,147.341217,186188500
2017-09-25,149.990005,154.720001,149.160004,154.119995,149.504440,154856800
2017-10-02,154.259995,155.490005,152.460007,155.300003,150.649063,93784300
2017-10-09,155.809998,158.000000,155.100006,156.990005,152.288498,81304800
2017-10-16,157.899994,160.869995,155.020004,156.250000,151.570633,126051300
2017-10-23,156.889999,163.600006,155.270004,163.050003,158.166992,122403300
2017-10-30,163.889999,174.259995,163.720001,172.500000,167.333984,215177400
2017-11-06,172.369995,176.240005,171.720001,174.669998,169.438980,138425400
2017-11-13,173.500000,174.500000,168.380005,170.149994,165.647690,116459700
2017-11-20,170.289993,175.500000,169.559998,174.970001,170.340179,81009300
2017-11-27,175.050003,175.080002,167.160004,171.050003,166.523895,170098500
2017-12-04,172.479996,172.619995,166.460007,169.369995,164.888367,137481100
2017-12-11,169.199997,174.169998,168.789993,173.970001,169.366638,139147200
2017-12-18,174.880005,177.199997,173.250000,175.009995,170.379120,117632400
2017-12-25,170.800003,171.850006,169.220001,169.229996,164.752060,97163800
2018-01-01,170.160004,175.369995,169.259995,175.000000,170.369385,101168400
2018-01-08,174.350006,177.360001,173.000000,177.089996,172.404099,110197500
2018-01-15,177.899994,180.100006,175.070007,178.460007,173.737839,127571200
2018-01-22,177.300003,179.440002,170.059998,171.509995,166.971725,191574800
2018-01-29,170.160004,170.160004,160.100006,160.500000,156.253067,262992100
2018-02-05,159.100006,163.880005,150.240005,156.410004,152.271271,317654000
2018-02-12,158.500000,174.820007,157.509995,172.429993,168.551804,225336900
2018-02-19,172.050003,175.649994,171.009995,175.500000,171.552734,136206400
2018-02-26,176.350006,180.619995,172.449997,176.210007,172.246780,202128400
2018-03-05,175.210007,180.000000,174.270004,179.979996,175.931992,139852700
2018-03-12,180.289993,183.500000,177.619995,178.020004,174.016083,155417500
2018-03-19,177.320007,177.470001,164.940002,164.940002,161.230270,172670700
2018-03-26,168.070007,175.149994,165.190002,167.779999,164.006378,158530800
2018-04-02,166.639999,174.229996,164.470001,168.380005,164.592911,164408800
2018-04-09,169.880005,175.839996,169.850006,174.729996,170.800049,127871500
2018-04-16,175.029999,178.940002,165.429993,165.720001,161.992706,169238200
2018-04-23,166.830002,166.919998,160.630005,162.320007,158.669205,162208400
